Study_code;Sample_ID;SpC;Cl;SO4;NO3;NO2;F;TN;Sample_n;Sample_ID;NPOC;Sample_ID
WHONDRS_S19S;S19S_0012_ANI-2;NA;20.49;4;0.39;Below_Range_Less_Than_0.04;0.06;0.31;S19S12;S19S_0012_ICR-2;2.02;S19S_0012_ANI-2
WHONDRS_S19S;S19S_0012_ANI-3;NA;20.64;4.01;0.37;Below_Range_Less_Than_0.04;0.06;0.29;S19S12;S19S_0012_ICR-3;2.07;S19S_0012_ANI-3
WHONDRS_S19S;S19S_0013_ANI-1;134.4;2.85;3.17;0.97;Below_Range_Less_Than_0.04;0.06;0.37;S19S13;S19S_0013_ICR-1;1.64;S19S_0013_ANI-1
WHONDRS_S19S;S19S_0013_ANI-2;NA;2.79;3.1;0.8;Below_Range_Less_Than_0.04;0.05;0.37;S19S13;S19S_0013_ICR-2;2.21;S19S_0013_ANI-2
WHONDRS_S19S;S19S_0013_ANI-3;NA;2.82;3.12;0.89;0.05;0.06;0.6;S19S13;S19S_0013_ICR-3;1.84;S19S_0013_ANI-3
WHONDRS_S19S;S19S_0014_ANI-1;572;19.97;18.52;12.19;Below_Range_Less_Than_0.04;0.21;3;S19S14;S19S_0014_ICR-1;0.61;S19S_0014_ANI-1
WHONDRS_S19S;S19S_0014_ANI-2;NA;19.01;17.47;12;Below_Range_Less_Than_0.04;0.22;2.78;S19S14;S19S_0014_ICR-2;0.83;S19S_0014_ANI-2
WHONDRS_S19S;S19S_0014_ANI-3;NA;19.19;17.59;11.93;Below_Range_Less_Than_0.04;0.22;2.94;S19S14;S19S_0014_ICR-3;0.78;S19S_0014_ANI-3
WHONDRS_S19S;S19S_0015_ANI-1;170.4;6.12;4.23;4.28;Below_Range_Less_Than_0.04;0.07;1.27;S19S15;S19S_0015_ICR-1;1.87;S19S_0015_ANI-1
WHONDRS_S19S;S19S_0015_ANI-2;NA;6.06;4.18;4.08;Below_Range_Less_Than_0.04;0.07;1.12;S19S15;S19S_0015_ICR-2;2.7;S19S_0015_ANI-2
WHONDRS_S19S;S19S_0015_ANI-3;NA;5.99;4.12;3.97;Below_Range_Less_Than_0.04;0.06;1.27;S19S15;S19S_0015_ICR-3;2.03;S19S_0015_ANI-3
WHONDRS_S19S;S19S_0016_ANI-1;597;1.9;36.2;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.36;0.41;S19S16;S19S_0016_ICR-1;1.03;S19S_0016_ANI-1
WHONDRS_S19S;S19S_0016_ANI-2;NA;1.77;34.49;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.32;0.4;S19S16;S19S_0016_ICR-2;0.98;S19S_0016_ANI-2
WHONDRS_S19S;S19S_0016_ANI-3;NA;1.71;33.63;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.34;0.39;S19S16;S19S_0016_ICR-3;0.85;S19S_0016_ANI-3
WHONDRS_S19S;S19S_0017_ANI-1;371;2.52;8.08;1.2;Below_Range_Less_Than_0.04;0.16;0.85;S19S17;S19S_0017_ICR-1;2.23;S19S_0017_ANI-1
WHONDRS_S19S;S19S_0017_ANI-2;NA;2.45;8.04;1.28;Below_Range_Less_Than_0.04;0.14;0.56;S19S17;S19S_0017_ICR-2;3.53;S19S_0017_ANI-2
WHONDRS_S19S;S19S_0017_ANI-3;NA;2.43;8.25;1.27;Below_Range_Less_Than_0.04;0.19;0.85;S19S17;S19S_0017_ICR-3;2.6;S19S_0017_ANI-3
WHONDRS_S19S;S19S_0018_ANI-1;17.98;5.11;4.59;4.62;Below_Range_Less_Than_0.04;0.1;5.79;S19S18;S19S_0018_ICR-1;0.73;S19S_0018_ANI-1
WHONDRS_S19S;S19S_0018_ANI-2;NA;0.81;2.05;1.18;Below_Range_Less_Than_0.04;0.04;0.73;S19S18;S19S_0018_ICR-2;0.48;S19S_0018_ANI-2
WHONDRS_S19S;S19S_0018_ANI-3;NA;0.39;1.52;0.71;Below_Range_Less_Than_0.04;0.06;0.28;S19S18;S19S_0018_ICR-3;0.86;S19S_0018_ANI-3
WHONDRS_S19S;S19S_0019_ANI-1;249;0.81;1.56;0.23;Below_Range_Less_Than_0.04;0.05;0.19;S19S19;S19S_0019_ICR-1;NA;S19S_0019_ANI-1
WHONDRS_S19S;S19S_0019_ANI-2;NA;0.93;1.77;0.21;Below_Range_Less_Than_0.04;0.05;0.36;S19S19;S19S_0019_ICR-2;0.46;S19S_0019_ANI-2
WHONDRS_S19S;S19S_0019_ANI-3;NA;0.89;1.72;0.24;Below_Range_Less_Than_0.04;0.05;0.2;S19S19;S19S_0019_ICR-3;NA;S19S_0019_ANI-3
WHONDRS_S19S;S19S_0020_ANI-1;217;11.81;36.24;0.38;Below_Range_Less_Than_0.04;0.09;0.39;S19S20;S19S_0020_ICR-1;4.01;S19S_0020_ANI-1
WHONDRS_S19S;S19S_0020_ANI-2;NA;11.77;36.68;0.28;Below_Range_Less_Than_0.04;0.09;0.37;S19S20;S19S_0020_ICR-2;3.09;S19S_0020_ANI-2
WHONDRS_S19S;S19S_0020_ANI-3;NA;11.76;36.38;0.34;Below_Range_Less_Than_0.04;0.09;0.35;S19S20;S19S_0020_ICR-3;4.33;S19S_0020_ANI-3
WHONDRS_S19S;S19S_0021_ANI-1;294;13.06;64.12;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.11;0.53;S19S21;S19S_0021_ICR-1;1.36;S19S_0021_ANI-1
