Study_code;Sample_ID;SpC;Cl;SO4;NO3;NO2;F;TN;Sample_n;Sample_ID;NPOC;Sample_ID
WHONDRS_S19S;S19S_0046_ANI-2;NA;NA;0.34;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.43;S19S46;S19S_0046_ICR-2;NA;S19S_0046_ANI-2
WHONDRS_S19S;S19S_0046_ANI-3;NA;NA;0.48;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.03;0.75;S19S46;S19S_0046_ICR-3;NA;S19S_0046_ANI-3
WHONDRS_S19S;S19S_0047_ANI-1;109.2;NA;33.61;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.05;0.49;S19S47;S19S_0047_ICR-1;4.07;S19S_0047_ANI-1
WHONDRS_S19S;S19S_0047_ANI-2;NA;NA;18.9;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.43;S19S47;S19S_0047_ICR-2;3.75;S19S_0047_ANI-2
WHONDRS_S19S;S19S_0047_ANI-3;NA;NA;33.22;0.15;Below_Range_Less_Than_0.04;0.04;0.24;S19S47;S19S_0047_ICR-3;4.56;S19S_0047_ANI-3
WHONDRS_S19S;S19S_0048_ANI-1;273;7.74;3.49;1.29;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.63;S19S48;S19S_0048_ICR-1;0.68;S19S_0048_ANI-1
WHONDRS_S19S;S19S_0048_ANI-2;NA;7.78;3.73;1.31;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.64;S19S48;S19S_0048_ICR-2;NA;S19S_0048_ANI-2
WHONDRS_S19S;S19S_0048_ANI-3;NA;7.71;3.49;1.28;Below_Range_Less_Than_0.04;0.03;0.41;S19S48;S19S_0048_ICR-3;0.48;S19S_0048_ANI-3
WHONDRS_S19S;S19S_0049_ANI-1;204;6.64;4.86;0.66;Below_Range_Less_Than_0.04;0.06;0.5;S19S49;S19S_0049_ICR-1;0.66;S19S_0049_ANI-1
WHONDRS_S19S;S19S_0049_ANI-2;NA;6.53;4.75;0.63;Below_Range_Less_Than_0.04;0.06;0.51;S19S49;S19S_0049_ICR-2;0.75;S19S_0049_ANI-2
WHONDRS_S19S;S19S_0049_ANI-3;NA;6.45;4.71;0.59;Below_Range_Less_Than_0.04;0.06;0.31;S19S49;S19S_0049_ICR-3;1.2;S19S_0049_ANI-3
WHONDRS_S19S;S19S_0050_ANI-1;109.4;0.38;5.25;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.54;S19S50;S19S_0050_ICR-1;4.45;S19S_0050_ANI-1
WHONDRS_S19S;S19S_0050_ANI-2;NA;0.27;4.02;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.49;S19S50;S19S_0050_ICR-2;5.13;S19S_0050_ANI-2
WHONDRS_S19S;S19S_0050_ANI-3;NA;0.21;2.57;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.03;0.21;S19S50;S19S_0050_ICR-3;4.18;S19S_0050_ANI-3
WHONDRS_S19S;S19S_0051_ANI-1;47.3;NA;2.68;1.23;Below_Range_Less_Than_0.04;0.06;0.54;S19S51;S19S_0051_ICR-1;7.52;S19S_0051_ANI-1
WHONDRS_S19S;S19S_0051_ANI-2;NA;NA;2.58;1.21;Below_Range_Less_Than_0.04;0.04;0.5;S19S51;S19S_0051_ICR-2;9.69;S19S_0051_ANI-2
WHONDRS_S19S;S19S_0051_ANI-3;NA;NA;2.58;1.27;Below_Range_Less_Than_0.04;0.04;0.53;S19S51;S19S_0051_ICR-3;7.62;S19S_0051_ANI-3
WHONDRS_S19S;S19S_0052_ANI-1;135;16.75;3.87;0.41;Below_Range_Less_Than_0.04;0.04;0.54;S19S52;S19S_0052_ICR-1;1.56;S19S_0052_ANI-1
WHONDRS_S19S;S19S_0052_ANI-2;NA;16.6;3.82;0.45;Below_Range_Less_Than_0.04;0.04;0.6;S19S52;S19S_0052_ICR-2;1.4;S19S_0052_ANI-2
WHONDRS_S19S;S19S_0052_ANI-3;NA;16.81;3.74;0.41;Below_Range_Less_Than_0.04;0.04;0.56;S19S52;S19S_0052_ICR-3;1.35;S19S_0052_ANI-3
WHONDRS_S19S;S19S_0053_ANI-1;308;58.81;14.99;2.89;Below_Range_Less_Than_0.04;0.05;1.03;S19S53;S19S_0053_ICR-1;3.06;S19S_0053_ANI-1
WHONDRS_S19S;S19S_0053_ANI-2;NA;59.25;15.19;2.99;Below_Range_Less_Than_0.04;0.04;1.35;S19S53;S19S_0053_ICR-2;2.21;S19S_0053_ANI-2
WHONDRS_S19S;S19S_0053_ANI-3;NA;59.8;15.47;2.93;Below_Range_Less_Than_0.04;0.05;1.28;S19S53;S19S_0053_ICR-3;2.3;S19S_0053_ANI-3
WHONDRS_S19S;S19S_0054_ANI-1;121.4;18.79;7.06;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.08;0.44;S19S54;S19S_0054_ICR-1;5.4;S19S_0054_ANI-1
WHONDRS_S19S;S19S_0054_ANI-2;NA;18.83;6.81;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.1;0.65;S19S54;S19S_0054_ICR-2;3.61;S19S_0054_ANI-2
WHONDRS_S19S;S19S_0054_ANI-3;NA;19.28;6.94;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.08;0.72;S19S54;S19S_0054_ICR-3;3.88;S19S_0054_ANI-3
WHONDRS_S19S;S19S_0055_ANI-1;652;79.08;38.73;3.63;Below_Range_Less_Than_0.04;0.39;1.24;S19S55;S19S_0055_ICR-1;3.58;S19S_0055_ANI-1
WHONDRS_S19S;S19S_0055_ANI-2;NA;75.34;36.6;3.64;Below_Range_Less_Than_0.04;0.41;1.37;S19S55;S19S_0055_ICR-2;2.44;S19S_0055_ANI-2
WHONDRS_S19S;S19S_0055_ANI-3;NA;69.51;33.87;3.09;Below_Range_Less_Than_0.04;0.35;1.24;S19S55;S19S_0055_ICR-3;2.1;S19S_0055_ANI-3
WHONDRS_S19S;S19S_0056_ANI-1;215;17.75;24.1;2.93;0.07;0.15;1.42;S19S56;S19S_0056_ICR-1;3.32;S19S_0056_ANI-1
WHONDRS_S19S;S19S_0056_ANI-2;NA;16.8;23.31;2.9;0.06;0.15;1;S19S56;S19S_0056_ICR-2;4.19;S19S_0056_ANI-2
WHONDRS_S19S;S19S_0056_ANI-3;NA;16.44;23.01;2.96;0.06;0.13;1.08;S19S56;S19S_0056_ICR-3;47.6;S19S_0056_ANI-3
WHONDRS_S19S;S19S_0057_ANI-1;30.8;1.31;0.39;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.03;0.88;S19S57;S19S_0057_ICR-1;4.13;S19S_0057_ANI-1
WHONDRS_S19S;S19S_0057_ANI-2;NA;1.31;0.7;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.55;S19S57;S19S_0057_ICR-2;4.05;S19S_0057_ANI-2
WHONDRS_S19S;S19S_0057_ANI-3;NA;1.31;0.4;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.03;0.6;S19S57;S19S_0057_ICR-3;0.56;S19S_0057_ANI-3
WHONDRS_S19S;S19S_0058_ANI-1;393;14.32;15.74;7.05;Below_Range_Less_Than_0.04;0.09;1.9;S19S58;S19S_0058_ICR-1;0.73;S19S_0058_ANI-1
WHONDRS_S19S;S19S_0058_ANI-2;NA;13.98;15.81;7.05;Below_Range_Less_Than_0.04;0.1;1.97;S19S58;S19S_0058_ICR-2;0.66;S19S_0058_ANI-2
WHONDRS_S19S;S19S_0058_ANI-3;NA;14.26;15.97;6.89;Below_Range_Less_Than_0.04;0.09;1.89;S19S58;S19S_0058_ICR-3;0.74;S19S_0058_ANI-3
WHONDRS_S19S;S19S_0059_ANI-1;69.2;0.45;4.94;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.19;S19S59;S19S_0059_ICR-1;1.51;S19S_0059_ANI-1
WHONDRS_S19S;S19S_0059_ANI-2;NA;0.46;3.69;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.23;S19S59;S19S_0059_ICR-2;1.42;S19S_0059_ANI-2
WHONDRS_S19S;S19S_0059_ANI-3;NA;0.45;4.55;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.18;S19S59;S19S_0059_ICR-3;1.55;S19S_0059_ANI-3
WHONDRS_S19S;S19S_0060_ANI-1;266;8.63;16.44;5.69;Below_Range_Less_Than_0.04;0.15;1.38;S19S60;S19S_0060_ICR-1;1.48;S19S_0060_ANI-1
WHONDRS_S19S;S19S_0060_ANI-2;NA;8.64;16.82;5.04;Below_Range_Less_Than_0.04;0.15;1.61;S19S60;S19S_0060_ICR-2;1.26;S19S_0060_ANI-2
WHONDRS_S19S;S19S_0060_ANI-3;NA;8.58;16.18;5.05;Below_Range_Less_Than_0.04;0.14;1.55;S19S60;S19S_0060_ICR-3;1.46;S19S_0060_ANI-3
WHONDRS_S19S;S19S_0061_ANI-1;576;28.24;11.81;9.84;0.08;0.08;2.52;S19S61;S19S_0061_ICR-1;3;S19S_0061_ANI-1
WHONDRS_S19S;S19S_0061_ANI-2;NA;27.15;11.34;9.46;0.08;0.09;2.69;S19S61;S19S_0061_ICR-2;2.35;S19S_0061_ANI-2
WHONDRS_S19S;S19S_0061_ANI-3;NA;26.34;10.88;9.53;0.08;0.09;2.46;S19S61;S19S_0061_ICR-3;2.59;S19S_0061_ANI-3
WHONDRS_S19S;S19S_0062_ANI-1;194.2;0.9;13.78;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.11;0.29;S19S62;S19S_0062_ICR-1;1.4;S19S_0062_ANI-1
WHONDRS_S19S;S19S_0062_ANI-2;NA;0.44;4.94;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.23;S19S62;S19S_0062_ICR-2;1.86;S19S_0062_ANI-2
WHONDRS_S19S;S19S_0062_ANI-3;NA;0.87;13.59;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.11;0.42;S19S62;S19S_0062_ICR-3;1.84;S19S_0062_ANI-3
WHONDRS_S19S;S19S_0063_ANI-1;537;29.88;29.2;1.85;Below_Range_Less_Than_0.04;0.17;0.71;S19S63;S19S_0063_ICR-1;2.18;S19S_0063_ANI-1
WHONDRS_S19S;S19S_0063_ANI-2;NA;28.28;27.58;1.75;Below_Range_Less_Than_0.04;0.18;0.67;S19S63;S19S_0063_ICR-2;1.9;S19S_0063_ANI-2
WHONDRS_S19S;S19S_0063_ANI-3;NA;28.89;28.02;1.82;Below_Range_Less_Than_0.04;0.17;0.95;S19S63;S19S_0063_ICR-3;2.15;S19S_0063_ANI-3
WHONDRS_S19S;S19S_0064_ANI-1;347;6.73;16.86;5.07;0.06;0.05;1.42;S19S64;S19S_0064_ICR-1;1.34;S19S_0064_ANI-1
WHONDRS_S19S;S19S_0064_ANI-2;NA;6.85;17.46;4.99;0.08;0.04;1.48;S19S64;S19S_0064_ICR-2;1.18;S19S_0064_ANI-2
WHONDRS_S19S;S19S_0064_ANI-3;NA;6.71;16.5;4.92;0.05;0.06;1.49;S19S64;S19S_0064_ICR-3;1.52;S19S_0064_ANI-3
WHONDRS_S19S;S19S_0065_ANI-1;227;4.31;11.2;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.08;0.81;S19S65;S19S_0065_ICR-1;1.77;S19S_0065_ANI-1
WHONDRS_S19S;S19S_0065_ANI-2;NA;4.28;10.91;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.08;0.45;S19S65;S19S_0065_ICR-2;1.79;S19S_0065_ANI-2
WHONDRS_S19S;S19S_0065_ANI-3;NA;4.35;11.01;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.1;0.43;S19S65;S19S_0065_ICR-3;1.84;S19S_0065_ANI-3
WHONDRS_S19S;S19S_0066_ANI-1;208;3.85;21.56;0.69;Below_Range_Less_Than_0.04;0.24;0.56;S19S66;S19S_0066_ICR-1;2.07;S19S_0066_ANI-1
WHONDRS_S19S;S19S_0066_ANI-2;NA;3.78;21.12;0.66;Below_Range_Less_Than_0.04;0.22;0.65;S19S66;S19S_0066_ICR-2;3.07;S19S_0066_ANI-2
WHONDRS_S19S;S19S_0067_ANI-1;526;12.15;15.3;6.71;Below_Range_Less_Than_0.04;0.08;2.09;S19S67;S19S_0067_ICR-1;1.77;S19S_0067_ANI-1
WHONDRS_S19S;S19S_0067_ANI-2;NA;11.95;15.08;6.54;Below_Range_Less_Than_0.04;0.08;1.95;S19S67;S19S_0067_ICR-2;2.07;S19S_0067_ANI-2
WHONDRS_S19S;S19S_0067_ANI-3;NA;11.25;14.08;6.69;Below_Range_Less_Than_0.04;0.08;1.98;S19S67;S19S_0067_ICR-3;2.7;S19S_0067_ANI-3
WHONDRS_S19S;S19S_0068_ANI-1;67.1;3.35;0.6;0.13;Below_Range_Less_Than_0.04;0.03;0.37;S19S68;S19S_0068_ICR-1;0.66;S19S_0068_ANI-1
WHONDRS_S19S;S19S_0068_ANI-2;NA;3.33;0.58;0.15;Below_Range_Less_Than_0.04;0.04;0.18;S19S68;S19S_0068_ICR-2;0.69;S19S_0068_ANI-2
WHONDRS_S19S;S19S_0068_ANI-3;NA;3.37;0.58;0.15;Below_Range_Less_Than_0.04;0.04;0.18;S19S68;S19S_0068_ICR-3;0.71;S19S_0068_ANI-3
WHONDRS_S19S;S19S_0069_ANI-1;161.8;15.02;10.24;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.09;0.35;S19S69;S19S_0069_ICR-1;0.59;S19S_0069_ANI-1
WHONDRS_S19S;S19S_0069_ANI-2;NA;15.05;10.25;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.1;0.17;S19S69;S19S_0069_ICR-2;0.68;S19S_0069_ANI-2
WHONDRS_S19S;S19S_0069_ANI-3;NA;14.93;10.15;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.1;0.31;S19S69;S19S_0069_ICR-3;0.69;S19S_0069_ANI-3
WHONDRS_S19S;S19S_0070_ANI-1;175.1;20.83;6.94;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.06;0.19;S19S70;S19S_0070_ICR-1;0.85;S19S_0070_ANI-1
WHONDRS_S19S;S19S_0070_ANI-2;NA;20.76;7.19;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.15;S19S70;S19S_0070_ICR-2;1.48;S19S_0070_ANI-2
WHONDRS_S19S;S19S_0070_ANI-3;NA;20.76;7.18;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.38;S19S70;S19S_0070_ICR-3;1.46;S19S_0070_ANI-3
WHONDRS_S19S;S19S_0071_ANI-1;98.2;0.46;3.7;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.09;0.46;S19S71;S19S_0071_ICR-1;2.46;S19S_0071_ANI-1
WHONDRS_S19S;S19S_0071_ANI-2;NA;0.44;4.7;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.17;S19S71;S19S_0071_ICR-2;2.71;S19S_0071_ANI-2
WHONDRS_S19S;S19S_0071_ANI-3;NA;0.48;3.65;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.08;0.46;S19S71;S19S_0071_ICR-3;2.6;S19S_0071_ANI-3
WHONDRS_S19S;S19S_0072_ANI-1;NA;261.01;16.66;3.5;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;1.39;S19S72;S19S_0072_ICR-1;2.56;S19S_0072_ANI-1
WHONDRS_S19S;S19S_0072_ANI-2;NA;295.29;19.04;3.31;Below_Range_Less_Than_0.04;0.07;1.36;S19S72;S19S_0072_ICR-2;3.58;S19S_0072_ANI-2
WHONDRS_S19S;S19S_0072_ANI-3;NA;282.66;17.35;3.44;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;1.02;S19S72;S19S_0072_ICR-3;3.86;S19S_0072_ANI-3
WHONDRS_S19S;S19S_0073_ANI-1;379;95.35;2.95;0.55;Below_Range_Less_Than_0.04;0.03;0.96;S19S73;S19S_0073_ICR-1;6.36;S19S_0073_ANI-1
WHONDRS_S19S;S19S_0073_ANI-2;NA;94.1;2.71;0.53;Below_Range_Less_Than_0.04;0.04;0.55;S19S73;S19S_0073_ICR-2;6.6;S19S_0073_ANI-2
WHONDRS_S19S;S19S_0073_ANI-3;NA;94.22;32.57;0.51;Below_Range_Less_Than_0.04;0.04;9.86;S19S73;S19S_0073_ICR-3;7.06;S19S_0073_ANI-3
WHONDRS_S19S;S19S_0074_ANI-1;140.8;1.27;10.12;0.43;Below_Range_Less_Than_0.04;0.09;0.48;S19S74;S19S_0074_ICR-1;1.18;S19S_0074_ANI-1
WHONDRS_S19S;S19S_0074_ANI-2;NA;1.21;9.82;0.39;Below_Range_Less_Than_0.04;0.08;0.31;S19S74;S19S_0074_ICR-2;1.45;S19S_0074_ANI-2
WHONDRS_S19S;S19S_0074_ANI-3;NA;1.25;9.86;0.39;Below_Range_Less_Than_0.04;0.08;0.27;S19S74;S19S_0074_ICR-3;1.48;S19S_0074_ANI-3
WHONDRS_S19S;S19S_0075_ANI-1;133.1;1.06;9.54;0.18;Below_Range_Less_Than_0.04;0.08;0.24;S19S75;S19S_0075_ICR-1;0.74;S19S_0075_ANI-1
WHONDRS_S19S;S19S_0075_ANI-2;NA;1.04;9.49;0.19;Below_Range_Less_Than_0.04;0.08;0.42;S19S75;S19S_0075_ICR-2;1.44;S19S_0075_ANI-2
WHONDRS_S19S;S19S_0075_ANI-3;NA;1.08;9.12;0.18;Below_Range_Less_Than_0.04;0.07;0.44;S19S75;S19S_0075_ICR-3;2.05;S19S_0075_ANI-3
WHONDRS_S19S;S19S_0076_ANI-1;139.6;1.45;9.87;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.09;0.22;S19S76;S19S_0076_ICR-1;1.49;S19S_0076_ANI-1
WHONDRS_S19S;S19S_0076_ANI-2;NA;1.36;9.77;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.09;0.44;S19S76;S19S_0076_ICR-2;1.26;S19S_0076_ANI-2
WHONDRS_S19S;S19S_0076_ANI-3;NA;1.31;9.85;0.15;Below_Range_Less_Than_0.04;0.08;0.28;S19S76;S19S_0076_ICR-3;1.67;S19S_0076_ANI-3
WHONDRS_S19S;S19S_0077_ANI-1;49.5;0.78;3.47;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.16;0.24;S19S77;S19S_0077_ICR-1;1.94;S19S_0077_ANI-1
WHONDRS_S19S;S19S_0077_ANI-2;NA;0.62;2.52;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.16;0.45;S19S77;S19S_0077_ICR-2;2.64;S19S_0077_ANI-2
WHONDRS_S19S;S19S_0077_ANI-3;NA;0.75;3.6;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.18;0.54;S19S77;S19S_0077_ICR-3;2.09;S19S_0077_ANI-3
WHONDRS_S19S;S19S_0078_ANI-1;109.3;3.5;8.6;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.06;0.89;S19S78;S19S_0078_ICR-1;2.47;S19S_0078_ANI-1
WHONDRS_S19S;S19S_0078_ANI-2;NA;3.51;8.35;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.61;S19S78;S19S_0078_ICR-2;2.56;S19S_0078_ANI-2
WHONDRS_S19S;S19S_0078_ANI-3;NA;3.48;8.13;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.06;0.56;S19S78;S19S_0078_ICR-3;2.27;S19S_0078_ANI-3
WHONDRS_S19S;S19S_0079_ANI-1;89.6;3.7;3.7;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;1.25;S19S79;S19S_0079_ICR-1;1.31;S19S_0079_ANI-1
WHONDRS_S19S;S19S_0079_ANI-2;NA;3.67;2.42;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.06;0.82;S19S79;S19S_0079_ICR-2;1.31;S19S_0079_ANI-2
WHONDRS_S19S;S19S_0079_ANI-3;NA;3.69;2;0.19;Below_Range_Less_Than_0.04;0.05;0.69;S19S79;S19S_0079_ICR-3;1.38;S19S_0079_ANI-3
WHONDRS_S19S;S19S_0080_ANI-1;268;13.76;27.3;1.54;Below_Range_Less_Than_0.04;0.27;0.82;S19S80;S19S_0080_ICR-1;2.71;S19S_0080_ANI-1
WHONDRS_S19S;S19S_0080_ANI-2;NA;14.99;79.17;1.27;Below_Range_Less_Than_0.04;0.26;9.27;S19S80;S19S_0080_ICR-2;2.72;S19S_0080_ANI-2
WHONDRS_S19S;S19S_0080_ANI-3;NA;14.21;32.1;1.16;Below_Range_Less_Than_0.04;0.24;1.2;S19S80;NA;NA;S19S_0080_ANI-3
WHONDRS_S19S;S19S_0081_ANI-1;423;92.26;11.64;2.95;Below_Range_Less_Than_0.04;0.09;0.99;S19S81;S19S_0081_ICR-1;2.86;S19S_0081_ANI-1
WHONDRS_S19S;S19S_0081_ANI-2;NA;90.4;11.49;2.9;Below_Range_Less_Than_0.04;0.1;1.06;S19S81;S19S_0081_ICR-2;2.87;S19S_0081_ANI-2
WHONDRS_S19S;S19S_0081_ANI-3;NA;92.06;11.52;2.74;Below_Range_Less_Than_0.04;0.1;1.14;S19S81;S19S_0081_ICR-3;2.32;S19S_0081_ANI-3
WHONDRS_S19S;S19S_0082_ANI-1;NA;NA;NA;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.44;S19S82;S19S_0082_ICR-1;5.51;S19S_0082_ANI-1
WHONDRS_S19S;S19S_0082_ANI-2;NA;NA;NA;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.72;S19S82;S19S_0082_ICR-2;5.44;S19S_0082_ANI-2
WHONDRS_S19S;S19S_0082_ANI-3;NA;NA;NA;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.71;S19S82;S19S_0082_ICR-3;5.39;S19S_0082_ANI-3
WHONDRS_S19S;S19S_0083_ANI-1;725;48.18;78.7;0.61;Below_Range_Less_Than_0.04;0.22;0.53;S19S83;S19S_0083_ICR-1;3.75;S19S_0083_ANI-1
WHONDRS_S19S;S19S_0083_ANI-2;NA;47.57;77.28;0.6;Below_Range_Less_Than_0.04;0.23;0.58;S19S83;S19S_0083_ICR-2;2.49;S19S_0083_ANI-2
WHONDRS_S19S;S19S_0083_ANI-3;NA;23.94;40.33;0.56;Below_Range_Less_Than_0.04;0.19;0.82;S19S83;S19S_0083_ICR-3;2.9;S19S_0083_ANI-3
WHONDRS_S19S;S19S_0084_ANI-1;14.78;0.4;2.66;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.46;S19S84;S19S_0084_ICR-1;1.77;S19S_0084_ANI-1
WHONDRS_S19S;S19S_0084_ANI-2;NA;0.37;2.88;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.24;S19S84;S19S_0084_ICR-2;2.15;S19S_0084_ANI-2
WHONDRS_S19S;S19S_0084_ANI-3;NA;0.37;2.85;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.19;S19S84;S19S_0084_ICR-3;1.36;S19S_0084_ANI-3
WHONDRS_S19S;S19S_0085_ANI-1;112.9;2.68;4.04;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.38;0.4;S19S85;S19S_0085_ICR-1;1.29;S19S_0085_ANI-1
WHONDRS_S19S;S19S_0085_ANI-2;NA;2.66;4;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.37;0.22;S19S85;S19S_0085_ICR-2;1.57;S19S_0085_ANI-2
WHONDRS_S19S;S19S_0085_ANI-3;NA;2.66;4;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.37;0.43;S19S85;S19S_0085_ICR-3;0.87;S19S_0085_ANI-3
WHONDRS_S19S;S19S_0086_ANI-1;563;11.18;82.35;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.12;0.37;S19S86;S19S_0086_ICR-1;0.58;S19S_0086_ANI-1
WHONDRS_S19S;S19S_0086_ANI-2;NA;10.8;80.07;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.12;0.42;S19S86;S19S_0086_ICR-2;0.74;S19S_0086_ANI-2
WHONDRS_S19S;S19S_0086_ANI-3;NA;10.95;81.36;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.13;0.38;S19S86;S19S_0086_ICR-3;0.77;S19S_0086_ANI-3
WHONDRS_S19S;S19S_0087_ANI-1;177.2;1.1;1.74;0.21;Below_Range_Less_Than_0.04;0.14;0.32;S19S87;S19S_0087_ICR-1;2.16;S19S_0087_ANI-1
WHONDRS_S19S;S19S_0087_ANI-2;NA;0.99;1.7;0.27;Below_Range_Less_Than_0.04;0.11;0.26;S19S87;S19S_0087_ICR-2;1.45;S19S_0087_ANI-2
WHONDRS_S19S;S19S_0087_ANI-3;NA;1.01;1.69;0.24;Below_Range_Less_Than_0.04;0.1;0.52;S19S87;S19S_0087_ICR-3;1.46;S19S_0087_ANI-3
WHONDRS_S19S;S19S_0089_ANI-1;511;36.8;22.55;2.83;Below_Range_Less_Than_0.04;0.16;0.81;S19S89;S19S_0089_ICR-1;1.59;S19S_0089_ANI-1
WHONDRS_S19S;S19S_0089_ANI-2;NA;36.66;22.77;2.66;Below_Range_Less_Than_0.04;0.19;0.82;S19S89;S19S_0089_ICR-2;2.37;S19S_0089_ANI-2
WHONDRS_S19S;S19S_0089_ANI-3;NA;36.96;22.15;2.84;Below_Range_Less_Than_0.04;0.19;0.81;S19S89;S19S_0089_ICR-3;1.16;S19S_0089_ANI-3
WHONDRS_S19S;S19S_0090_ANI-1;242;20.42;36.51;21.85;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;5.5;S19S90;NA;NA;S19S_0090_ANI-1
WHONDRS_S19S;S19S_0090_ANI-2;NA;20.52;36.86;22.87;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;4.79;S19S90;S19S_0090_ICR-2;2.08;S19S_0090_ANI-2
WHONDRS_S19S;S19S_0090_ANI-3;NA;20.33;36.47;21.93;Below_Range_Less_Than_0.04;0.03;5.43;S19S90;S19S_0090_ICR-3;1.54;S19S_0090_ANI-3
WHONDRS_S19S;S19S_0091_ANI-1;155.7;1.87;22.62;0.21;Below_Range_Less_Than_0.04;0.08;1.19;S19S91;NA;NA;S19S_0091_ANI-1
WHONDRS_S19S;S19S_0091_ANI-2;NA;1.87;22.72;0.2;Below_Range_Less_Than_0.04;0.08;0.89;S19S91;S19S_0091_ICR-2;NA;S19S_0091_ANI-2
WHONDRS_S19S;S19S_0091_ANI-3;NA;1.87;22.61;0.22;Below_Range_Less_Than_0.04;0.08;0.39;S19S91;S19S_0091_ICR-3;NA;S19S_0091_ANI-3
WHONDRS_S19S;S19S_0092_ANI-1;704;31.81;45.16;53.65;NA;0.17;29.41;S19S92;S19S_0092_ICR-1;8.31;S19S_0092_ANI-1
WHONDRS_S19S;S19S_0092_ANI-2;NA;31.79;44.92;53.06;NA;0.18;29.67;S19S92;S19S_0092_ICR-2;9.01;S19S_0092_ANI-2
WHONDRS_S19S;S19S_0092_ANI-3;NA;32.45;46.24;53.6;NA;0.31;29.76;S19S92;S19S_0092_ICR-3;8.13;S19S_0092_ANI-3
