num,Sample_ID,00681_NPOC_mg_per_L_as_C
162,S19S_0057_ICR-2,4.05
163,S19S_0057_ICR-3,0.56
164,S19S_0058_ICR-1,0.73
165,S19S_0058_ICR-2,0.66
166,S19S_0058_ICR-3,0.74
167,S19S_0059_ICR-1,1.51
168,S19S_0059_ICR-2,1.42
169,S19S_0059_ICR-3,1.55
170,S19S_0060_ICR-1,1.48
171,S19S_0060_ICR-2,1.26
172,S19S_0060_ICR-3,1.46
173,S19S_0061_ICR-1,3
174,S19S_0061_ICR-2,2.35
175,S19S_0061_ICR-3,2.59
176,S19S_0062_ICR-1,1.4
177,S19S_0062_ICR-2,1.86
178,S19S_0062_ICR-3,1.84
179,S19S_0063_ICR-1,2.18
180,S19S_0063_ICR-2,1.9
181,S19S_0063_ICR-3,2.15
182,S19S_0064_ICR-1,1.34
183,S19S_0064_ICR-2,1.18
184,S19S_0064_ICR-3,1.52
185,S19S_0065_ICR-1,1.77
186,S19S_0065_ICR-2,1.79
187,S19S_0065_ICR-3,1.84
188,S19S_0066_ICR-1,2.07
189,S19S_0066_ICR-2,3.07
190,S19S_0067_ICR-1,1.77
191,S19S_0067_ICR-2,2.07
192,S19S_0067_ICR-3,2.7
193,S19S_0068_ICR-1,0.66
194,S19S_0068_ICR-2,0.69
195,S19S_0068_ICR-3,0.71
196,S19S_0069_ICR-1,0.59
197,S19S_0069_ICR-2,0.68
198,S19S_0069_ICR-3,0.69
199,S19S_0070_ICR-1,0.85
200,S19S_0070_ICR-2,1.48
201,S19S_0070_ICR-3,1.46
202,S19S_0071_ICR-1,2.46
203,S19S_0071_ICR-2,2.71
204,S19S_0071_ICR-3,2.6
205,S19S_0072_ICR-1,2.56
206,S19S_0072_ICR-2,3.58
207,S19S_0072_ICR-3,3.86
208,S19S_0073_ICR-1,6.36
209,S19S_0073_ICR-2,6.6
210,S19S_0073_ICR-3,7.06
211,S19S_0074_ICR-1,1.18
212,S19S_0074_ICR-2,1.45
213,S19S_0074_ICR-3,1.48
214,S19S_0075_ICR-1,0.74
215,S19S_0075_ICR-2,1.44
216,S19S_0075_ICR-3,2.05
217,S19S_0076_ICR-1,1.49
218,S19S_0076_ICR-2,1.26
219,S19S_0076_ICR-3,1.67
220,S19S_0077_ICR-1,1.94
221,S19S_0077_ICR-2,2.64
222,S19S_0077_ICR-3,2.09
223,S19S_0078_ICR-1,2.47
224,S19S_0078_ICR-2,2.56
225,S19S_0078_ICR-3,2.27
226,S19S_0079_ICR-1,1.31
227,S19S_0079_ICR-2,1.31
