num,Sample_ID,00681_NPOC_mg_per_L_as_C
121,S19S_0043_Sed_Field_ICR-U,8.22
122,S19S_0074_Sed_Field_ICR-M,21.2
123,S19S_0006_Sed_Field_ICR-D,5.96
124,S19S_0040_Sed_Field_ICR-U,24.52
125,S19S_0029_Sed_Field_ICR-M,31.55
126,S19S_0006_Sed_Field_ICR-U,9.24
127,S19S_0029_Sed_Field_ICR-U,10.93
128,S19S_0026_Sed_Field_ICR-D,33.13
129,S19S_0074_Sed_Field_ICR-D,20.7
130,S19S_0011_Sed_Field_ICR-U,21.27
131,S19S_0036_Sed_Field_ICR-M,13.93
132,S19S_0011_Sed_Field_ICR-M,14.93
133,S19S_0026_Sed_Field_ICR-M,11.73
134,S19S_0036_Sed_Field_ICR-D,19.87
135,S19S_0006_Sed_Field_ICR-M,5.27
136,S19S_0023_Sed_Field_ICR-D,25.55
137,S19S_0075_Sed_Field_ICR-M,8.27
138,S19S_0076_Sed_Field_ICR-M,40.62
139,S19S_0034_Sed_Field_ICR-D,16.35
140,S19S_0018_Sed_Field_ICR-U,17.34
141,S19S_0055_Sed_Field_ICR-D,27.68
142,S19S_0018_Sed_Field_ICR-D,11.1
143,S19S_0028_Sed_Field_ICR-U,Above_Range_Greater_Than_22
144,S19S_0054_Sed_Field_ICR-U,14.2
145,S19S_0039_Sed_Field_ICR-M,12.78
146,S19S_0023_Sed_Field_ICR-M,11.01
147,S19S_0039_Sed_Field_ICR-D,16.43
148,S19S_0025_Sed_Field_ICR-D,17.98
149,S19S_0076_Sed_Field_ICR-U,10.34
150,S19S_0041_Sed_Field_ICR-D,9.88
151,S19S_0028_Sed_Field_ICR-D,11.39
152,S19S_0054_Sed_Field_ICR-D,11.45
153,S19S_0041_Sed_Field_ICR-U,11.62
154,S19S_0039_Sed_Field_ICR-U,12.11
155,S19S_0055_Sed_Field_ICR-M,19.72
156,S19S_0034_Sed_Field_ICR-U,15.26
157,S19S_0018_Sed_Field_ICR-M,15.31
158,S19S_0023_Sed_Field_ICR-U,26.33
159,S19S_0044_Sed_Field_ICR-D,24.32
160,S19S_0075_Sed_Field_ICR-D,9.99
161,S19S_0044_Sed_Field_ICR-U,21.03
162,S19S_0028_Sed_Field_ICR-M,39.33
163,S19S_0041_Sed_Field_ICR-M,18.17
164,S19S_0034_Sed_Field_ICR-M,23.8
165,S19S_0055_Sed_Field_ICR-U,23.65
166,S19S_0025_Sed_Field_ICR-U,11.06
167,S19S_0025_Sed_Field_ICR-M,8.99
168,S19S_0063_Sed_Field_ICR-U,3.43
169,S19S_0038_Sed_Field_ICR-D,17
170,S19S_0038_Sed_Field_ICR-M,8.56
171,S19S_0061_Sed_Field_ICR-D,17.25
172,S19S_0012_Sed_Field_ICR-M,13.44
173,S19S_0063_Sed_Field_ICR-M,5.03
174,S19S_0016_Sed_Field_ICR-D,6.38
175,S19S_0037_Sed_Field_ICR-U,21.11
176,S19S_0035_Sed_Field_ICR-M,7.76
177,S19S_0027_Sed_Field_ICR-M,15.12
178,S19S_0027_Sed_Field_ICR-D,10.47
179,S19S_0035_Sed_Field_ICR-U,9.27
180,S19S_0016_Sed_Field_ICR-U,10.76
181,S19S_0030_Sed_Field_ICR-U,6.84
182,S19S_0027_Sed_Field_ICR-U,13.41
183,S19S_0061_Sed_Field_ICR-M,21.79
184,S19S_0012_Sed_Field_ICR-D,11.5
185,S19S_0016_Sed_Field_ICR-M,21.16
186,S19S_0012_Sed_Field_ICR-U,9.45
187,S19S_0009_Sed_Field_ICR-U,11.85
188,S19S_0048_Sed_Field_ICR-U,4.24
189,S19S_0049_Sed_Field_ICR-U,5.26
190,S19S_0049_Sed_Field_ICR-D,5.51
191,S19S_0048_Sed_Field_ICR-D,7.18
192,S19S_0048_Sed_Field_ICR-M,3.07
193,S19S_0049_Sed_Field_ICR-M,14.92
194,S19S_0069_Sed_Field_ICR-M,5.33
195,S19S_0056_Sed_Field_ICR-M,8.39
196,S19S_0001_Sed_Field_ICR-D,2.35
197,S19S_0056_Sed_Field_ICR-U,6.93
198,S19S_0068_Sed_Field_ICR-M,7.01
199,S19S_0070_Sed_Field_ICR-U,5.62
200,S19S_0070_Sed_Field_ICR-D,8.06
201,S19S_0058_Sed_Field_ICR-D,33.83
202,S19S_0069_Sed_Field_ICR-D,9.2
203,S19S_0056_Sed_Field_ICR-M,8.39
204,S19S_0092_Sed_Field_ICR-M,38
205,S19S_0069_Sed_Field_ICR-U,6.22
206,S19S_0001_Sed_Field_ICR-M,2.5
207,S19S_0032_Sed_Field_ICR-M,14.81
208,S19S_0065_Sed_Field_ICR-D,6.65
209,S19S_0058_Sed_Field_ICR-U,18.17
210,S19S_0032_Sed_Field_ICR-U,22.13
211,S19S_0092_Sed_Field_ICR-D,11.8
212,S19S_0032_Sed_Field_ICR-D,34.48
213,S19S_0001_Sed_Field_ICR-U,3.17
214,S19S_0056_Sed_Field_ICR-D,14.72
215,S19S_0046_Sed_Field_ICR-M,2.62
216,S19S_0046_Sed_Field_ICR-U,3.09
217,S19S_0065_Sed_Field_ICR-U,12.27
218,S19S_0046_Sed_Field_ICR-D,2.7
219,S19S_0092_Sed_Field_ICR-U,41.01
220,S19S_0065_Sed_Field_ICR-M,10.34
221,S19S_0009_Sed_Field_ICR-M,9.27
222,S19S_0059_Sed_Field_ICR-M,22.84
223,S19S_0050_Sed_Field_ICR-U,17.69
224,S19S_0033_Sed_Field_ICR-U,8.31
225,S19S_0003_Sed_Field_ICR-U,11.28
226,S19S_0062_Sed_Field_ICR-M,8.54
227,S19S_0038_Sed_Field_ICR-U,10.02
228,S19S_0085_Sed_Field_ICR-D,17.21
229,S19S_0037_Sed_Field_ICR-D,16.06
230,S19S_0033_Sed_Field_ICR-M,5.22
231,S19S_0004_Sed_Field_ICR-M,18.34
232,S19S_0004_Sed_Field_ICR-D,88.35
233,S19S_0044_Sed_Inc_ICR-M,14.77
234,S19S_0094_Sed_Field_ICR-U,4.92
235,S19S_0044_Sed_Field_ICR-M,17.05
236,S19S_0010_Sed_Field_ICR-U,15.69
237,S19S_0096_Sed_Field_ICR-D,3.23
238,S19S_0097_Sed_Field_ICR-M,16.42
239,S19S_0047_Sed_Field_ICR-D,26.9
240,S19S_0062_Sed_Field_ICR-D,5.45
241,S19S_0093_Sed_Field_ICR-D,25.04
242,S19S_0010_Sed_Field_ICR-D,10.82
243,S19S_0062_Sed_Field_ICR-U,6.47
244,S19S_0024_Sed_Field_ICR-D,45.55
245,S19S_0085_Sed_Field_ICR-M,16.71
246,S19S_0010_Sed_Field_ICR-M,20.73
247,S19S_0030_Sed_Field_ICR-M,12.24
248,S19S_0050_Sed_Field_ICR-M,28.03
249,S19S_0037_Sed_Field_ICR-M,41.86
250,S19S_0047_Sed_Field_ICR-U,37.71
251,S19S_0085_Sed_Field_ICR-U,31.34
252,S19S_0008_Sed_Field_ICR-D,21.39
253,S19S_0040_Sed_Field_ICR-M,18.92
254,S19S_0093_Sed_Field_ICR-U,50.29
255,S19S_0033_Sed_Field_ICR-D,12.85
256,S19S_0024_Sed_Field_ICR-U,51.83
257,S19S_0008_Sed_Field_ICR-M,30.38
258,S19S_0087_Sed_Field_ICR-D,30.17
259,S19S_0093_Sed_Field_ICR-M,36.46
260,S19S_0051_Sed_Field_ICR-M,30.18
261,S19S_0008_Sed_Field_ICR-U,95.44
262,S19S_0004_Sed_Field_ICR-U,13.09
263,S19S_0064_Sed_Field_ICR-U,13.79
264,S19S_0007_Sed_Field_ICR-D,69.56
265,S19S_0050_Sed_Field_ICR-D,12.52
266,S19S_0047_Sed_Field_ICR-M,70.18
267,S19S_0051_Sed_Field_ICR-U,15.72
268,S19S_0094_Sed_Field_ICR-M,5.46
269,S19S_0061_Sed_Field_ICR-U,44.52
270,S19S_0059_Sed_Field_ICR-D,37.02
271,S19S_0003_Sed_Field_ICR-M,30.92
272,S19S_0063_Sed_Field_ICR-D,14.32
273,S19S_0003_Sed_Field_ICR-D,17.21
274,S19S_0096_Sed_Field_ICR-U,67
275,S19S_0087_Sed_Field_ICR-M,25.82
276,S19S_0059_Sed_Field_ICR-U,41.07
277,S19S_0051_Sed_Field_ICR-D,31.52
278,S19S_0008_Sed_Field_ICR-D,21.39
279,S19S_0087_Sed_Field_ICR-U,25.61
280,S19S_0067_Sed_Field_ICR-U,46.59
281,S19S_0094_Sed_Field_ICR-D,7.57
282,S19S_0016_SED_INC_ICR-D,5.72
283,S19S_0015_SED_INC_ICR-D,11.21
284,S19S_0050_SED_INC_ICR-D,7.15
285,S19S_0032_SED_INC_ICR-D,25.64
286,S19S_0039_SED_INC_ICR-D,10.65
287,S19S_0045_Sed_Field_ICR-D,14.61
288,S19S_0022_SED_INC_ICR-D,4.32
289,S19S_0086_SED_INC_ICR-D,13.44
290,S19S_0029_SED_INC_ICR-D,12.01
291,S19S_0054_SED_INC_ICR-D,6.99
292,S19S_0087_SED_INC_ICR-D,10.91
293,S19S_0027_SED_INC_ICR-D,7.55
294,S19S_0037_SED_INC_ICR-D,11.88
295,S19S_0044_SED_INC_ICR-D,17.64
296,S19S_0062_SED_INC_ICR-D,8.31
297,S19S_0075_SED_INC_ICR-D,9.6
298,S19S_0009_SED_INC_ICR-D,24.87
299,S19S_0067_SED_INC_ICR-D,14.72
300,S19S_0055_SED_INC_ICR-D,6.05
301,S19S_0020_SED_INC_ICR-D,30.84
302,S19S_0024_SED_INC_ICR-D,13.12
303,S19S_0023_SED_INC_ICR-D,16.78
304,S19S_0090_SED_INC_ICR-D,10.2
305,S19S_0077_SED_INC_ICR-D,8.83
306,S19S_0072_SED_INC_ICR-D,9.17
307,S19S_0083_SED_INC_ICR-D,4.78
308,S19S_0080_SED_INC_ICR-D,16.02
